PLAYER,SALARY,SIGNING,TEAM,2027 SALARY,2027 STATUS
Napheesa Collier,"$1,400,000",Core,MIN,,UFA
Kelsey Mitchell,"$1,400,000",Core,IND,,UFA
A'ja Wilson,"$1,400,000",UFA,LVA,"$1,470,000",Signed
Ezi Magbegor,"$1,250,000",Core,SEA,"$1,250,000",Signed
Kahleah Copper,"$1,200,000",UFA,PHX,"$1,260,000",Signed
Marina Mabrey,"$1,200,000",Core,TOR,"$1,200,000",Signed
Alyssa Thomas,"$1,200,000",UFA,PHX,"$1,200,000",Signed
Shakira Austin,"$1,190,000",RFA,WAS,"$1,190,000",Signed
Bridget Carleton,"$1,190,000",Core,PDX,"$1,249,500",Signed
Allisha Gray,"$1,190,000",UFA,ATL,"$1,240,000",Signed
Brittney Griner,"$1,190,000",UFA,CON,,UFA
Sabrina Ionescu,"$1,190,000",Core,NYL,"$1,249,500",Signed
Jonquel Jones,"$1,190,000",UFA,NYL,"$1,249,500",Signed
Kayla McBride,"$1,190,000",UFA,MIN,"$1,249,500",Signed
Arike Ogunbowale,"$1,190,000",Core,DAL,"$1,249,500",Signed
Alanna Smith,"$1,190,000",UFA,DAL,"$1,249,500",Signed
Breanna Stewart,"$1,190,000",UFA,NYL,"$1,249,500",Signed
Brittney Sykes,"$1,190,000",UFA,TOR,"$1,190,000",Signed
Courtney Williams,"$1,190,000",UFA,MIN,"$1,249,500",Signed
Gabby Williams,"$1,190,000",UFA,GSV,"$1,249,500",Signed
Jackie Young,"$1,190,000",UFA,LVA,,UFA
Dearica Hamby,"$1,100,000",UFA,LAS,"$1,122,500",Signed
Rhyne Howard,"$1,100,000",RFA,ATL,"$1,125,000",Signed
Ariel Atkins,"$1,085,000",Core,LAS,"$1,139,000",Signed
Aliyah Boston,"$1,000,000",Rookie,IND,"$1,470,000",Signed
Kennedy Burke,"$1,000,000",UFA,CON,,UFA
Temi Fagbenle,"$1,000,000",UFA,TOR,,UFA
Chelsea Gray,"$1,000,000",UFA,LVA,"$1,050,000",Signed
Brionna Jones,"$1,000,000",UFA,ATL,"$1,025,000",Signed
Jessica Shepard,"$1,000,000",UFA,DAL,"$1,050,000",Signed
Azurá Stevens,"$1,000,000",UFA,CHI,"$1,050,000",Signed
Kelsey Plum,"$999,999",Core,PHX,,UFA
Nneka Ogwumike,"$950,000",UFA,LAS,,UFA
Veronica Burton,"$925,000",RFA,GSV,"$971,250",Signed
Skylar Diggins,"$920,000",UFA,CHI,"$940,000",Signed
Naz Hillmon,"$840,000",RFA,ATL,"$850,000",Signed
Satou Sabally,"$815,000",UFA,NYL,"$855,750",Signed
Monique Billings,"$800,000",UFA,IND,"$800,000",Signed
Jewell Loyd,"$800,000",UFA,LVA,"$840,000",Signed
Lexie Hull,"$765,000",RFA,IND,"$803,250",Signed
Stefanie Dolson,"$750,000",UFA,SEA,,UFA
Natisha Hiedeman,"$750,000",UFA,SEA,"$775,000",Signed
Kayla Thornton,"$750,000",UFA,GSV,,UFA
Courtney Vandersloot,"$750,000",UFA,CHI,"$750,000",Signed
Olivia Nelson-Ododa,"$735,000",RFA,CON,"$700,000",Signed
Sami Whitcomb,"$735,000",UFA,PHX,"$700,000",Signed
Natasha Howard,"$700,000",UFA,MIN,"$735,000",Signed
Michaela Onyenwere,"$700,000",UFA,WAS,"$735,000",Signed
Sophie Cunningham,"$665,000",UFA,IND,,UFA
Jordin Canada,"$650,000",UFA,ATL,"$650,000",Signed
DiJonai Carrington,"$650,000",UFA,CHI,,UFA
Erica Wheeler,"$625,000",UFA,LAS,"$625,000",Signed
